max_age,n_init,max_iou_distance,mota,num_switches
2,30,0.7,0.8292567311338642,66.0
2,30,0.8,0.8415576412590065,59.0
2,30,0.9,0.8491894197952219,55.0
2,35,0.7,0.8204161926431551,64.0
2,35,0.8,0.8335940462646947,58.0
2,35,0.9,0.8409177095183922,54.0
2,40,0.7,0.8131399317406143,61.0
2,40,0.8,0.826317785362154,53.0
2,40,0.9,0.8338310580204779,48.0
2,50,0.7,0.7959091770951839,59.0
2,50,0.8,0.8107461130072051,51.0
2,50,0.9,0.8194207432688662,46.0
4,30,0.7,0.8401592718998863,51.0
4,30,0.8,0.8514884338263178,46.0
4,30,0.9,0.8598549488054608,41.0
4,35,0.7,0.8330726204019719,49.0
4,35,0.8,0.8450654152445961,45.0
4,35,0.9,0.8532423208191127,40.0
4,40,0.7,0.8270288206295032,48.0
4,40,0.8,0.8389031095942359,42.0
4,40,0.9,0.8466533940083428,37.0
4,50,0.7,0.8112201365187713,46.0
4,50,0.8,0.8245164960182025,40.0
4,50,0.9,0.83338073568449,35.0
6,30,0.7,0.8453261281759575,40.0
6,30,0.8,0.8564893818733409,35.0
6,30,0.9,0.8625805839969662,33.0
6,35,0.7,0.8388557072430792,39.0
6,35,0.8,0.8506825938566553,35.0
6,35,0.9,0.8562286689419796,33.0
6,40,0.7,0.83492131209708,38.0
6,40,0.8,0.8466296928327646,32.0
6,40,0.9,0.8513936291240045,30.0
6,50,0.7,0.8212220326128176,37.0
6,50,0.8,0.8343524838832006,31.0
6,50,0.9,0.8394719378081152,29.0
8,30,0.7,0.8451128175957527,41.0
8,30,0.8,0.8571767159651118,35.0
8,30,0.9,0.8612770193401593,34.0
8,35,0.7,0.8428138035646568,41.0
8,35,0.8,0.8546169890026545,35.0
8,35,0.9,0.8580536594615094,34.0
8,40,0.7,0.8398037542662116,40.0
8,40,0.8,0.8523179749715586,34.0
8,40,0.9,0.8558731513083049,33.0
8,50,0.7,0.8274317406143344,39.0
8,50,0.8,0.8413680318543799,33.0
8,50,0.9,0.8449943117178612,32.0
