epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.325454,1.66676,4.43682,0.87596,0.03175,0.05217,0.01678,0.01117,1.19215,4.919,0.81641,0,0,0
2,0.462165,1.52099,4.33626,0.88897,0.02927,0.05217,0.01545,0.01053,1.19107,4.88886,0.81663,1.6615e-05,1.6615e-05,1.6615e-05
3,0.602679,1.63885,4.40515,0.89508,0.0303,0.06087,0.01611,0.01079,1.19355,4.86073,0.81735,3.312e-05,3.312e-05,3.312e-05
4,0.755249,1.59898,4.18554,0.89039,0.02692,0.06087,0.01432,0.00959,1.18575,4.8162,0.81821,4.95149e-05,4.95149e-05,4.95149e-05
5,0.869394,1.22537,4.07145,0.85952,0.02837,0.06957,0.01525,0.01004,1.1893,4.7662,0.81945,6.57998e-05,6.57998e-05,6.57998e-05
6,0.995052,1.49913,4.22549,0.87167,0.02389,0.06087,0.01273,0.00777,1.18687,4.72007,0.81993,8.19747e-05,8.19747e-05,8.19747e-05
7,1.13749,1.59072,4.23432,0.87162,0.87451,0.32174,0.75396,0.41914,1.36071,2.41035,0.83308,9.80396e-05,9.80396e-05,9.80396e-05
8,1.51727,1.42416,2.05513,0.86064,0.78602,0.86244,0.80713,0.43493,1.35815,1.31461,0.83213,0.000113994,0.000113994,0.000113994
9,1.79195,0.97516,1.0416,0.8414,0.88811,0.86957,0.80367,0.45316,1.29802,1.22891,0.83825,0.000129839,0.000129839,0.000129839
10,2.06787,1.17453,0.95395,0.82589,0.89208,0.86957,0.79785,0.42364,1.36576,1.10277,0.85758,0.000145574,0.000145574,0.000145574
11,2.28561,1.14298,0.79479,0.81714,0.94553,0.82609,0.84009,0.40989,1.52826,1.04862,0.85732,0.000161199,0.000161199,0.000161199
12,2.49937,1.14494,0.75312,0.81673,0.96138,0.86087,0.8841,0.47104,1.40282,1.00277,0.8401,0.000176714,0.000176714,0.000176714
13,2.77617,1.12412,0.72459,0.82051,0.99995,0.86957,0.88818,0.56715,1.17611,1.04177,0.83052,0.000192118,0.000192118,0.000192118
14,3.04682,1.27843,0.73134,0.81677,0.99605,0.86087,0.88795,0.58935,1.21292,1.16821,0.8425,0.000207413,0.000207413,0.000207413
15,3.31241,0.90046,0.62175,0.81155,0.93256,0.83478,0.88121,0.58333,1.12077,1.20875,0.83595,0.000222598,0.000222598,0.000222598
16,3.53116,0.8487,0.57655,0.81315,0.91899,0.86087,0.88098,0.55152,1.11564,1.3329,0.83059,0.000237673,0.000237673,0.000237673
17,3.74453,0.93519,0.5914,0.80157,0.90045,0.86087,0.87875,0.54159,1.16452,1.15966,0.8278,0.000252637,0.000252637,0.000252637
18,3.96168,0.90686,0.59467,0.79872,0.90045,0.86087,0.87875,0.54159,1.16452,1.15966,0.8278,0.000267492,0.000267492,0.000267492
19,4.18098,0.90007,0.62582,0.78813,0.9693,0.86957,0.87882,0.58005,1.08324,1.10121,0.81934,0.000282236,0.000282236,0.000282236
20,4.39116,0.88529,0.55868,0.79988,0.9693,0.86957,0.87882,0.58005,1.08324,1.10121,0.81934,0.000296871,0.000296871,0.000296871
21,4.72153,0.84554,0.56664,0.78045,0.95046,0.86957,0.87171,0.57391,1.03958,1.26073,0.81246,0.000311396,0.000311396,0.000311396
22,4.93096,0.824,0.53472,0.80126,0.95046,0.86957,0.87171,0.57391,1.03958,1.26073,0.81246,0.00032581,0.00032581,0.00032581
23,5.14828,0.81774,0.54202,0.78866,0.91111,0.86957,0.86968,0.54791,1.13606,1.16015,0.81615,0.000340115,0.000340115,0.000340115
24,5.35892,0.94022,0.55851,0.78014,0.91111,0.86957,0.86968,0.54791,1.13606,1.16015,0.81615,0.000354309,0.000354309,0.000354309
25,5.57294,0.88823,0.54727,0.79186,0.90856,0.86957,0.87192,0.55735,1.12362,1.09289,0.81566,0.000368394,0.000368394,0.000368394
26,5.78095,0.77435,0.54071,0.8142,0.90856,0.86957,0.87192,0.55735,1.12362,1.09289,0.81566,0.000382368,0.000382368,0.000382368
27,5.9993,1.05495,0.61401,0.78679,0.9122,0.86957,0.87188,0.60611,1.05963,0.80316,0.82529,0.000396233,0.000396233,0.000396233
28,6.261,0.85364,0.58039,0.79076,0.9122,0.86957,0.87188,0.60611,1.05963,0.80316,0.82529,0.000409987,0.000409987,0.000409987
29,6.52979,0.79085,0.55926,0.80129,0.93088,0.86087,0.87131,0.61951,0.99266,0.93243,0.81981,0.000423631,0.000423631,0.000423631
30,6.79193,0.75429,0.483,0.79457,0.93088,0.86087,0.87131,0.61951,0.99266,0.93243,0.81981,0.000437166,0.000437166,0.000437166
31,7.06715,0.75817,0.48943,0.78429,0.91604,0.86957,0.87327,0.55775,1.0336,1.17929,0.80839,0.00045059,0.00045059,0.00045059
32,7.36739,0.74184,0.53425,0.7964,0.91604,0.86957,0.87327,0.55775,1.0336,1.17929,0.80839,0.000463904,0.000463904,0.000463904
33,7.58389,0.74918,0.51397,0.8011,0.88276,0.85115,0.87407,0.56196,1.11017,1.01761,0.8156,0.000477109,0.000477109,0.000477109
34,7.79553,0.93965,0.53511,0.7819,0.88276,0.85115,0.87407,0.56196,1.11017,1.01761,0.8156,0.000490203,0.000490203,0.000490203
35,8.01209,0.76038,0.48319,0.78579,0.82205,0.84359,0.8662,0.60323,1.037,0.88084,0.822,0.000503187,0.000503187,0.000503187
36,8.21899,0.74743,0.47912,0.80713,0.82205,0.84359,0.8662,0.60323,1.037,0.88084,0.822,0.000516062,0.000516062,0.000516062
37,8.43403,0.75617,0.49447,0.78748,0.93735,0.8,0.8766,0.56085,1.1754,0.94187,0.81881,0.000528826,0.000528826,0.000528826
38,8.64515,0.80722,0.48841,0.79591,0.93735,0.8,0.8766,0.56085,1.1754,0.94187,0.81881,0.00054148,0.00054148,0.00054148
39,8.86761,0.82022,0.49761,0.78942,0.87956,0.82556,0.89796,0.54989,1.21172,1.09005,0.82195,0.000554024,0.000554024,0.000554024
40,9.07817,0.83454,0.47698,0.79437,0.87956,0.82556,0.89796,0.54989,1.21172,1.09005,0.82195,0.000566458,0.000566458,0.000566458
41,9.30024,0.71226,0.45619,0.82177,0.93307,0.82609,0.89265,0.59234,1.06041,1.02447,0.82113,0.000578782,0.000578782,0.000578782
42,9.51142,0.92012,0.50556,0.78427,0.93307,0.82609,0.89265,0.59234,1.06041,1.02447,0.82113,0.000590997,0.000590997,0.000590997
43,9.81378,0.81506,0.51834,0.79329,0.96844,0.82609,0.87844,0.53502,1.12712,1.1453,0.82023,0.000603101,0.000603101,0.000603101
44,10.022,0.89281,0.53111,0.79276,0.96844,0.82609,0.87844,0.53502,1.12712,1.1453,0.82023,0.000615095,0.000615095,0.000615095
45,10.235,0.82466,0.53925,0.79307,0.99071,0.8,0.87913,0.47423,1.28557,1.25394,0.81122,0.000626979,0.000626979,0.000626979
46,10.451,0.76918,0.51242,0.77793,0.99071,0.8,0.87913,0.47423,1.28557,1.25394,0.81122,0.000638753,0.000638753,0.000638753
47,10.6634,0.94733,0.53968,0.78723,1,0.79007,0.86974,0.48732,1.24039,1.38224,0.80623,0.000650417,0.000650417,0.000650417
48,10.8726,0.96631,0.52594,0.78136,1,0.79007,0.86974,0.48732,1.24039,1.38224,0.80623,0.000661971,0.000661971,0.000661971
49,11.0863,0.80306,0.49559,0.78638,0.97053,0.8,0.88358,0.56005,1.07972,1.29192,0.81269,0.000673415,0.000673415,0.000673415
50,11.2986,0.899,0.50212,0.78261,0.97053,0.8,0.88358,0.56005,1.07972,1.29192,0.81269,0.000684749,0.000684749,0.000684749
