epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.1028,0.91458,0.85196,0.80164,0.84774,0.60988,0.64785,0.40634,0.87937,0.50129,0.78456,0.00358566,0.00358566,0.00358566
2,60.7104,0.94433,0.54878,0.79899,0.85955,0.69946,0.73026,0.45056,0.81492,0.47147,0.80028,0.0071675,0.0071675,0.0071675
3,90.0112,1.00162,0.6135,0.80891,0.87961,0.68793,0.73632,0.4733,0.73991,0.46631,0.78665,0.009934,0.009934,0.009934
4,119.247,0.93875,0.50713,0.80324,0.90886,0.7354,0.77148,0.46867,0.86846,0.45859,0.79202,0.009901,0.009901,0.009901
5,148.4,0.85272,0.45775,0.79132,0.86052,0.74701,0.77976,0.53078,0.6243,0.38952,0.77165,0.009868,0.009868,0.009868
6,177.632,0.80285,0.42714,0.78526,0.91784,0.74504,0.79217,0.55261,0.56457,0.35532,0.76645,0.009835,0.009835,0.009835
7,206.879,0.76801,0.40704,0.78042,0.90545,0.75583,0.80283,0.55911,0.60378,0.34083,0.76285,0.009802,0.009802,0.009802
8,236.247,0.73272,0.39261,0.7781,0.91486,0.7585,0.81055,0.56207,0.62345,0.35039,0.76888,0.009769,0.009769,0.009769
9,265.436,0.71745,0.37383,0.77526,0.9141,0.7637,0.81157,0.55653,0.58851,0.32625,0.76227,0.009736,0.009736,0.009736
10,294.565,0.70421,0.36853,0.77385,0.92439,0.76516,0.81302,0.58815,0.53035,0.30907,0.76084,0.009703,0.009703,0.009703
11,323.742,0.6836,0.35892,0.77291,0.91829,0.76238,0.83076,0.57406,0.64772,0.32974,0.77168,0.00967,0.00967,0.00967
12,352.899,0.67908,0.35649,0.77014,0.92345,0.76511,0.81506,0.56684,0.55312,0.31204,0.76155,0.009637,0.009637,0.009637
13,382.296,0.66382,0.34831,0.7696,0.93849,0.76604,0.83124,0.59321,0.5572,0.31068,0.76165,0.009604,0.009604,0.009604
14,411.585,0.65194,0.34226,0.76806,0.93304,0.76649,0.8284,0.58945,0.55058,0.30551,0.75932,0.009571,0.009571,0.009571
15,440.772,0.64408,0.33905,0.76685,0.91388,0.76394,0.82069,0.58666,0.51944,0.30126,0.75845,0.009538,0.009538,0.009538
16,469.868,0.63086,0.33129,0.76534,0.9326,0.77426,0.82941,0.59847,0.51773,0.28972,0.75593,0.009505,0.009505,0.009505
17,499.035,0.6274,0.327,0.76429,0.94151,0.75847,0.82385,0.60194,0.51355,0.28675,0.75686,0.009472,0.009472,0.009472
18,528.226,0.61772,0.32303,0.76383,0.93342,0.77224,0.82334,0.59347,0.50775,0.28287,0.75533,0.009439,0.009439,0.009439
