epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.386,1.26325,0.95748,0.80442,0.97849,0.46199,0.48342,0.29057,1.2158,0.57857,0.79115,0.00358566,0.00358566,0.00358566
2,24.126,1.31938,0.69348,0.79624,0.93537,0.4559,0.47739,0.29623,1.21989,0.6463,0.7957,0.0071675,0.0071675,0.0071675
3,36.0031,1.42778,0.73587,0.81133,0.9702,0.45456,0.48715,0.28435,1.17547,0.75862,0.79022,0.009934,0.009934,0.009934
4,47.8868,1.29642,0.62055,0.79834,0.98755,0.46995,0.49366,0.33625,1.08074,0.56139,0.77966,0.009901,0.009901,0.009901
5,59.9905,1.16625,0.54709,0.79042,0.99302,0.48343,0.49639,0.35782,0.96654,0.50698,0.76581,0.009868,0.009868,0.009868
6,71.9998,1.09295,0.50674,0.78193,0.99438,0.48384,0.49663,0.3744,0.89036,0.44836,0.76285,0.009835,0.009835,0.009835
7,84.0135,1.03402,0.47191,0.77582,0.98998,0.47641,0.49647,0.37234,0.88435,0.4351,0.77781,0.009802,0.009802,0.009802
8,96.2102,0.99951,0.46059,0.77665,0.49166,0.48027,0.49627,0.37533,0.88731,0.42853,0.77176,0.009769,0.009769,0.009769
9,108.189,0.95993,0.44471,0.7725,0.4944,0.48458,0.49685,0.3852,0.80696,0.41601,0.7608,0.009736,0.009736,0.009736
10,120.06,0.93838,0.43595,0.77032,0.49357,0.48514,0.49695,0.40541,0.71385,0.37979,0.75992,0.009703,0.009703,0.009703
11,131.34,0.91967,0.4268,0.7684,0.49456,0.48348,0.49867,0.40221,0.71507,0.37329,0.76333,0.00967,0.00967,0.00967
12,142.502,0.90186,0.41874,0.76667,0.51163,0.48725,0.49798,0.40795,0.68962,0.36589,0.75606,0.009637,0.009637,0.009637
13,153.513,0.88038,0.41171,0.76509,0.58963,0.49831,0.50463,0.41119,0.67713,0.36126,0.75906,0.009604,0.009604,0.009604
14,164.556,0.86777,0.40216,0.7658,0.73026,0.52782,0.55454,0.41853,0.70595,0.36365,0.76014,0.009571,0.009571,0.009571
15,175.629,0.85601,0.39867,0.76427,0.79613,0.53579,0.58761,0.43093,0.71729,0.36136,0.75924,0.009538,0.009538,0.009538
16,186.496,0.83527,0.38973,0.76294,0.86459,0.55363,0.61095,0.45387,0.65172,0.34359,0.75855,0.009505,0.009505,0.009505
17,197.546,0.83456,0.38884,0.76142,0.83541,0.55528,0.60078,0.44525,0.64489,0.34682,0.754,0.009472,0.009472,0.009472
18,208.379,0.81485,0.38147,0.76005,0.89225,0.54742,0.62771,0.45694,0.65418,0.34089,0.75853,0.009439,0.009439,0.009439
19,244.362,0.8082,0.37772,0.75962,0.83035,0.56713,0.62014,0.44704,0.69425,0.34462,0.75949,0.009406,0.009406,0.009406
20,255.175,0.79766,0.37296,0.75957,0.87004,0.55335,0.63279,0.46412,0.63522,0.33354,0.7562,0.009373,0.009373,0.009373
21,266.159,0.7938,0.36898,0.75972,0.85137,0.56502,0.61676,0.45409,0.62487,0.33034,0.75413,0.00934,0.00934,0.00934
22,306.007,0.78451,0.36865,0.75822,0.87742,0.56052,0.63975,0.45973,0.61365,0.32588,0.75462,0.009307,0.009307,0.009307
23,316.921,0.78146,0.368,0.75884,0.82338,0.55891,0.60213,0.4389,0.67427,0.34273,0.75479,0.009274,0.009274,0.009274
24,327.859,0.77564,0.36449,0.75716,0.8472,0.56533,0.62795,0.464,0.60514,0.32241,0.75141,0.009241,0.009241,0.009241
25,368.044,0.77382,0.36182,0.75715,0.87496,0.56036,0.6374,0.4679,0.63157,0.3278,0.75223,0.009208,0.009208,0.009208
26,379.001,0.76879,0.36172,0.75603,0.83856,0.57164,0.62202,0.45642,0.63719,0.3292,0.75448,0.009175,0.009175,0.009175
27,402.221,0.76077,0.35848,0.75555,0.84096,0.56558,0.62909,0.46492,0.62297,0.32409,0.75154,0.009142,0.009142,0.009142
28,413.154,0.75453,0.35544,0.75424,0.87756,0.56747,0.64729,0.47588,0.59163,0.31266,0.75029,0.009109,0.009109,0.009109
29,424.197,0.75004,0.35445,0.75512,0.85237,0.56942,0.63706,0.4641,0.62023,0.32575,0.75202,0.009076,0.009076,0.009076
30,435.028,0.74994,0.3542,0.75382,0.87363,0.56856,0.64656,0.47501,0.60172,0.31894,0.75106,0.009043,0.009043,0.009043
31,445.824,0.741,0.34925,0.75447,0.89271,0.56535,0.65066,0.48045,0.5951,0.31411,0.75129,0.00901,0.00901,0.00901
32,456.639,0.73425,0.34998,0.75299,0.8628,0.56982,0.63301,0.46819,0.61806,0.32281,0.75062,0.008977,0.008977,0.008977
33,467.412,0.73328,0.34833,0.75331,0.90055,0.5749,0.67066,0.48374,0.59708,0.30893,0.7508,0.008944,0.008944,0.008944
34,478.324,0.72374,0.34466,0.75198,0.87575,0.57355,0.65178,0.48196,0.6047,0.31087,0.75058,0.008911,0.008911,0.008911
35,489.132,0.72615,0.34485,0.7523,0.89565,0.57175,0.65563,0.4771,0.59571,0.3102,0.75032,0.008878,0.008878,0.008878
36,499.915,0.71665,0.34027,0.75186,0.87722,0.58327,0.66552,0.48576,0.59617,0.30731,0.75002,0.008845,0.008845,0.008845
37,510.74,0.7146,0.34013,0.75166,0.90723,0.56952,0.66239,0.49008,0.57147,0.303,0.74761,0.008812,0.008812,0.008812
38,521.673,0.71331,0.33937,0.75101,0.89296,0.57188,0.66445,0.49099,0.58173,0.3072,0.74788,0.008779,0.008779,0.008779
39,532.668,0.70748,0.33654,0.75041,0.90694,0.57551,0.67024,0.48757,0.57379,0.3009,0.74844,0.008746,0.008746,0.008746
40,543.835,0.70726,0.336,0.75019,0.90726,0.57637,0.6761,0.48146,0.57748,0.30179,0.74724,0.008713,0.008713,0.008713
41,554.722,0.70259,0.33503,0.75107,0.88344,0.57199,0.66663,0.49042,0.5851,0.30089,0.74908,0.00868,0.00868,0.00868
42,565.599,0.69584,0.33208,0.75011,0.87348,0.58894,0.66674,0.48456,0.58582,0.30226,0.74856,0.008647,0.008647,0.008647
43,576.395,0.69895,0.33227,0.74979,0.88557,0.57109,0.66482,0.49163,0.56879,0.29994,0.74783,0.008614,0.008614,0.008614
44,587.26,0.68563,0.32972,0.74878,0.87079,0.58163,0.67108,0.48686,0.58873,0.30205,0.74832,0.008581,0.008581,0.008581
45,598.379,0.68943,0.32875,0.74931,0.93529,0.5816,0.68099,0.49968,0.55748,0.29483,0.74648,0.008548,0.008548,0.008548
46,609.545,0.68438,0.32773,0.74838,0.89993,0.57178,0.66457,0.48581,0.56158,0.29652,0.74628,0.008515,0.008515,0.008515
47,620.339,0.68538,0.32711,0.74869,0.92996,0.59124,0.68821,0.5043,0.55211,0.29267,0.74594,0.008482,0.008482,0.008482
48,631.173,0.67958,0.32398,0.74924,0.83328,0.5895,0.64538,0.48902,0.55238,0.29087,0.74606,0.008449,0.008449,0.008449
49,641.968,0.67205,0.32283,0.74811,0.87791,0.58132,0.68362,0.49286,0.56269,0.29327,0.74614,0.008416,0.008416,0.008416
50,652.843,0.67089,0.32168,0.74826,0.85759,0.58792,0.66264,0.49016,0.55283,0.29208,0.74541,0.008383,0.008383,0.008383
51,663.82,0.67403,0.32199,0.747,0.88901,0.58578,0.66389,0.49047,0.5521,0.28851,0.74564,0.00835,0.00835,0.00835
52,674.92,0.67233,0.32088,0.74768,0.87661,0.58723,0.66694,0.49444,0.55512,0.28666,0.74601,0.008317,0.008317,0.008317
53,685.934,0.66934,0.31972,0.74663,0.88399,0.58593,0.66146,0.49253,0.55516,0.2874,0.74588,0.008284,0.008284,0.008284
54,696.857,0.67239,0.32034,0.74703,0.88648,0.59279,0.66323,0.49228,0.55409,0.28664,0.74544,0.008251,0.008251,0.008251
55,707.611,0.66058,0.31639,0.74765,0.89262,0.60382,0.684,0.50036,0.54918,0.28662,0.74482,0.008218,0.008218,0.008218
56,718.335,0.6563,0.31642,0.74699,0.89605,0.60132,0.67568,0.49344,0.55267,0.28411,0.74522,0.008185,0.008185,0.008185
57,729.045,0.65658,0.31588,0.7467,0.86971,0.57504,0.65823,0.4907,0.54784,0.2885,0.74463,0.008152,0.008152,0.008152
58,739.781,0.65719,0.31353,0.74682,0.86559,0.58128,0.65645,0.49328,0.54417,0.28338,0.74451,0.008119,0.008119,0.008119
59,750.614,0.65273,0.31289,0.746,0.91403,0.60356,0.68921,0.50588,0.53321,0.27934,0.7433,0.008086,0.008086,0.008086
60,761.432,0.6505,0.31265,0.74644,0.84719,0.58992,0.66542,0.50102,0.53396,0.28012,0.74369,0.008053,0.008053,0.008053
61,772.179,0.65147,0.31143,0.74583,0.89623,0.5913,0.66347,0.49892,0.54306,0.28099,0.74472,0.00802,0.00802,0.00802
62,782.938,0.64924,0.30957,0.74625,0.8907,0.6021,0.69505,0.50851,0.55069,0.28139,0.74443,0.007987,0.007987,0.007987
63,793.755,0.64029,0.30953,0.74455,0.88922,0.60104,0.68723,0.50406,0.54547,0.27935,0.74453,0.007954,0.007954,0.007954
64,804.537,0.64382,0.30818,0.74549,0.89931,0.6125,0.70015,0.50998,0.52964,0.27615,0.74369,0.007921,0.007921,0.007921
65,815.412,0.63944,0.30749,0.74562,0.88927,0.58666,0.67187,0.50519,0.52913,0.27565,0.74331,0.007888,0.007888,0.007888
66,826.165,0.63535,0.30613,0.74546,0.88929,0.5988,0.69318,0.50984,0.52747,0.27414,0.74335,0.007855,0.007855,0.007855
67,846.006,0.63665,0.30582,0.74531,0.90471,0.59611,0.68477,0.50848,0.53056,0.27485,0.74303,0.007822,0.007822,0.007822
68,856.793,0.63413,0.30506,0.7453,0.90185,0.59207,0.6811,0.50252,0.52595,0.27501,0.74276,0.007789,0.007789,0.007789
